M,Torch (GB/s),Triton (GB/s),Helion (GB/s),Cute (GB/s),Gluon (GB/s)
512.000000,141.633009,362.871084,426.788957,764.445104,299.610576
768.000000,163.734718,410.610649,483.926688,876.817743,338.155618
1024.000000,158.039292,429.867902,515.132016,822.046916,372.852152
1280.000000,155.144218,450.892228,553.319700,801.815506,400.207020
1536.000000,159.416460,482.321215,565.396852,792.714573,415.335583
1792.000000,163.856545,505.063951,577.473156,759.584369,443.370375
2048.000000,167.257462,511.862446,585.289367,699.830220,449.662065
2304.000000,168.423752,514.508283,587.902018,724.090526,467.771610
2560.000000,169.688157,524.429681,601.201619,716.165797,477.527681
2816.000000,171.330069,535.785639,609.613751,705.494683,482.121846
3072.000000,172.823029,532.552741,614.042089,698.298517,490.536207
3328.000000,173.479332,541.045294,615.857650,693.274229,490.245620
3584.000000,174.531834,544.335367,624.175570,687.552568,501.724631
3840.000000,175.304476,544.343897,629.019050,694.883323,506.870052
4096.000000,176.652191,550.888024,629.148442,695.342174,510.179338
4352.000000,177.501784,553.163361,636.661105,693.712758,513.226464
4608.000000,178.639894,553.064360,639.528852,547.414577,513.513567
4864.000000,179.665095,557.923439,640.191453,696.340568,519.249374
5120.000000,180.366677,559.910060,645.397889,698.060110,523.264731
5376.000000,181.098941,560.895652,645.409228,706.052888,521.724847
5632.000000,181.552067,561.867987,650.365617,705.817178,527.872935
5888.000000,182.348083,564.950652,652.104989,705.194884,524.203799
6144.000000,182.800552,565.793012,654.222206,705.913083,527.046859
6400.000000,183.714020,569.107336,656.212645,702.929239,531.456896
6656.000000,184.045840,570.921322,658.209331,708.860240,531.543185
6912.000000,184.561684,574.093123,660.051647,705.512033,535.675132
7168.000000,181.532452,574.710999,659.677658,703.161104,532.978246
7424.000000,182.217204,574.488760,660.584372,708.887875,533.938087
7680.000000,182.845314,575.637324,664.504618,540.362944,538.724641
7936.000000,183.608734,576.474079,663.654877,706.592671,536.284441
8192.000000,184.282829,577.451738,664.837752,714.307013,541.004113
8448.000000,184.873219,577.464005,666.079377,708.776258,540.222982
8704.000000,185.372259,578.813454,667.650306,715.189186,537.300613
8960.000000,185.919269,581.223338,667.690327,714.652528,543.556579
9216.000000,186.226051,579.620629,669.555051,714.672646,540.606396
9472.000000,186.364512,581.748483,670.790863,716.212374,542.704115
9728.000000,186.619069,581.414195,670.345037,717.082571,545.308142
9984.000000,186.940960,581.823255,670.707814,716.442795,540.180631
10240.000000,187.298651,583.255400,671.005321,716.456293,544.415049
10496.000000,187.723270,584.428694,674.146185,716.387047,543.987686
10752.000000,187.880790,582.653618,673.520107,717.217368,544.187623
11008.000000,188.177793,584.054349,674.911861,717.285360,546.435899
11264.000000,188.495901,585.933950,675.283672,717.566489,545.704928
11520.000000,188.581953,585.759594,674.747250,717.247404,546.462221
11776.000000,188.884793,587.160718,675.102116,716.910662,547.316859
12032.000000,188.967711,587.140155,675.725601,594.073433,547.017124
12288.000000,188.975741,587.881834,675.705893,720.723148,547.207259
12544.000000,189.456513,588.767641,678.087082,721.252178,549.449813
12800.000000,189.517149,589.520352,678.781610,722.048392,550.313241
13056.000000,189.710298,588.935325,679.336588,720.755749,548.185917
13312.000000,189.922715,591.166239,678.535647,721.536416,549.005054
