N,Torch (GB/s),Triton (GB/s),Helion (GB/s),Cute (GB/s),Gluon (GB/s)
512.000000,158.723503,298.287189,451.306321,774.638335,395.830251
768.000000,175.679182,380.710338,483.032710,899.077469,460.800001
1024.000000,171.349408,438.049944,535.930481,787.660209,501.283490
1280.000000,167.713381,494.871939,548.540029,862.335744,507.824941
1536.000000,168.012210,481.839417,559.984637,808.185008,524.319337
1792.000000,168.551727,508.036258,569.419056,769.705550,527.720543
2048.000000,170.456225,528.332219,588.304439,748.032966,540.932068
2304.000000,171.067354,514.052623,592.773694,737.279998,501.133567
2560.000000,172.100842,536.725774,594.279183,721.126763,508.664774
2816.000000,172.841317,551.022137,600.380010,707.444529,514.356586
3072.000000,173.983680,562.621685,608.270159,707.578175,517.848655
3328.000000,175.185872,563.195571,617.291977,701.407598,517.227669
3584.000000,176.050626,567.339923,621.879346,630.898181,515.626834
3840.000000,176.987656,552.806169,629.725664,699.159277,513.733140
4096.000000,177.074088,551.192793,630.737346,620.935497,510.221586
4352.000000,178.698959,537.737297,623.236362,701.954415,514.796219
4608.000000,179.546431,529.528775,636.136202,708.314562,520.767838
4864.000000,180.485994,524.341180,638.835012,706.719030,522.781918
5120.000000,180.621601,517.374758,642.796774,707.109158,517.094257
5376.000000,181.453143,503.162591,641.925521,708.728375,511.039394
5632.000000,182.024297,498.798335,643.774673,704.229237,505.321251
5888.000000,182.446658,482.529675,645.604831,705.667618,503.736575
6144.000000,183.350929,474.012994,647.118742,703.212030,492.038434
6400.000000,183.928263,465.522534,648.546529,712.075981,490.759611
6656.000000,184.305550,459.984519,649.666370,711.922995,482.966229
6912.000000,184.817208,454.101203,651.103617,714.644568,478.100558
7168.000000,185.247853,452.733992,652.022832,713.287604,470.885902
7424.000000,185.885606,450.648107,654.378352,714.750643,467.153413
7680.000000,185.986725,449.309623,653.448414,713.265662,459.774827
7936.000000,186.532099,447.208967,656.334240,716.728413,453.757065
8192.000000,186.597308,444.203792,654.416135,714.853145,452.652983
8448.000000,185.582992,444.739154,653.445343,715.408926,436.988829
